1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antarctica
9,Antigua and Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaijan
16,Bahama Islands
17,Bahrain
18,Bangladesh
19,Barbados
20,Belarus
21,Belgium
22,Belize
23,Benin
24,Bhutan
25,Bolivia
26,Bosnia and Herzegovina
27,Botswana
28,Brazil
29,Brunei
30,Bulgaria
31,Burkina Faso
32,Burma
33,Burundi
34,Cambodia
35,Cameroon
36,Canada
37,Cape Verde
38,Central African Republic
39,Chad
40,Chile
41,China
42,Colombia
43,Comoros
44,Congo
45,Costa Rica
46,Cote dIvoire
47,Croatia
48,Cuba
49,Cyprus
50,Czech Republic
51,Denmark
52,Djibouti
53,Dominica
54,Dominican Republic
55,Ecuador
56,Egypt
57,El Salvador
58,Equatorial Guinea
59,Eritrea
60,Estonia
61,Ethiopia
62,Fiji
63,Finland
64,France
65,Gabon
66,Gambia
67,Georgia
68,Germany
69,Ghana
70,Great Britain
71,Greece
72,Greenland
73,Grenada
74,Guatemala
75,Guinea
76,Guinea-Bissau
77,Guyana
78,Haiti
79,Honduras
80,Hungary
81,Iceland
82,India
83,Indonesia,Republic of
84,Iran
85,Iraq
86,Ireland
87,Israel
88,Italy
89,Jamaica
90,Japan
91,Jordan
92,Kazakhstan
93,Kenya
94,Kiribati
95,Korea,North
96,Korea,South
97,Kuwait
98,Kyrgyzstan
99,Laos
100,Latvia
101,Lebanon
102,Lesotho
103,Liberia
104,Liechtenstein
105,Lithuania
106,Luxembourg
107,Macedonia
108,Madagascar
109,Malawi
110,Malaysia
111,Maldives
112,Mali
113,Malta
114,Marshall Islands
115,Mauritania
116,Mexico
117,Micronesia,Federated States of
118,Moldova
119,Monaco
120,Mongolia,Republic of
121,Morocco
122,Mozambique
123,Namibia
124,Nauru
125,Nepal
126,Netherlands
127,New Zealand
128,Nicaragua
129,Niger
130,Nigeria
131,Norway
132,Oman
133,Pakistan
134,Palau,Republic of
135,Panama
136,Papua New Guinea
137,Paraguay
138,Peru
139,Philippines
140,Poland
141,Portugal
142,Qatar
143,Romania
144,Russia
145,Rwanda
146,Saint Kitts and Nevis
147,Saint Lucia
148,Saint Vincent/the Grenadines
149,San Marino
150,Sao Tome and Principe
151,Saudi Arabia
152,Senegal
153,Serbia and Montenegro
154,Seychelles
155,Sierra Leone
156,Singapore
157,Slovakia
158,Slovenia
159,Solomon Islands
160,Somalia
161,South Africa
162,Spain
163,Sri Lanka
164,Sudan
165,Suriname
166,Swaziland
167,Sweden
168,Switzerland
169,Syria
170,Tajikistan
171,Tanzania,United Republic of
172,Thailand
173,Togo
174,Tonga
175,Trinidad and Tobago
176,Tunisia
177,Turkey
178,Turkmenistan
179,Tuvalu
180,Uganda
181,Ukraine
182,United Arab Emirates
183,United States
184,Uruguay
185,Uzbekistan
186,Vanuatu
187,Vatican City
188,Venezuela
189,Vietnam
190,Western Sahara
191,Yemen
192,Congo,Republic of (formerly Zaire)
193,Zambia
194,Zimbabwe
195,Bermuda
196,Cayman Islands
197,East Timor
198,French Guiana
199,French Polynesia
200,Guadeloupe
201,Guam
202,Guernsey
203,Hong Kong
204,Libya
205,Macau
206,Martinique
207,Mauritius
208,Mayotte
209,Montserrat
210,New Caledonia
211,Ashmore and Cartier Islands
212,Baker Island
213,Bassas da India
214,Bouvet Island
215,British Indian Ocean territory
216,British Virgin Islands
217,Christmas Island
218,Clipperton Island
219,Cocos Island
220,Cook Islands
221,Coral Sea Islands
222,French Southern and Antartic Lands
223,Europa Island
224,Falkland Islands
225,Faroe Islands
226,Gaza Strip
227,Samoa
228,Heard Island and McDonald Islands
229,Howland Island
230,Jan Mayen
231,Jarvis Island
232,Johnston Atoll
233,Juan de Nova Island
234,Kingman Reef
235,Man,Isle of
236,Midway Islands
237,Navassa Island
238,Netherlands Antilles
239,Niue
240,Saint Pierre and Miquelon
241,Saint Helena
242,Northern Mariana Islands
243,Palmyra Atoll
244,Paracel Islands
245,Pitcarin Islands
246,Puerto Rico
247,Reunion
248,Spratly Islands
249,Taiwan
250,Tokelau
251,Tromelin Island
252,Turks and Caicos Islands
253,Virgin Islands
254,Wake Island
255,Wallis and Futuna
256,West Bank
